code,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources
6573,ＣＲＡＶＩＡ(株),5,3,値上がり率・出来高・出来高増加率
6227,ＡＩメカテック(株),8,3,値上がり率・出来高・出来高増加率
7138,(株)ＴＯＲＩＣＯ,12,3,値上がり率・出来高・出来高増加率
4381,ビープラッツ(株),1,2,値上がり率・出来高増加率
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ(株),2,2,値上がり率・出来高
535A,NZAM 上場投信 DAX(H無),2,2,値上がり率・出来高増加率
4199,ワンダープラネット(株),3,2,値上がり率・出来高増加率
536A,NZAM 上場投信 先進国株式(MSCI-KOKUSAI)(H無),3,2,値上がり率・出来高増加率
1360,日経平均ベア2倍上場投信,4,2,値上がり率・出来高
7453,(株)良品計画,4,2,値上がり率・出来高
4597,ソレイジア・ファーマ(株),5,2,値上がり率・出来高
195A,(株)ＭＵＳＣＡＴ　ＧＲＯＵＰ,7,2,値上がり率・出来高増加率
9331,(株)キャスター,10,2,値上がり率・出来高増加率
3168,(株)ＭＥＲＦ,11,2,値上がり率・出来高増加率
4935,(株)リベルタ,12,2,値上がり率・出来高
9327,(株)イー・ロジット,16,2,値上がり率・出来高増加率
6836,ぷらっとホーム(株),17,2,値上がり率・出来高増加率
9610,ウィルソン・ラーニング　ワールドワイド(株),19,2,値上がり率・出来高増加率
4427,(株)ＥｄｕＬａｂ,22,2,値上がり率・出来高増加率
7111,ＩＮＥＳＴ(株),23,2,値上がり率・出来高増加率
3628,(株)データホライゾン,24,2,値上がり率・出来高増加率
4752,(株)昭和システムエンジニアリング,26,2,値上がり率・出来高増加率
7803,(株)ブシロード,26,2,値上がり率・出来高
1357,(NEXT FUNDS) 日経ダブルインバース上場投信,32,2,値上がり率・出来高
8551,(株)北日本銀行,32,2,値上がり率・出来高増加率
1459,楽天 ETF-日経ダブルインバース指数連動型,35,2,値上がり率・出来高
472A,(株)ミラティブ,37,2,値上がり率・出来高増加率
7219,(株)エッチ・ケー・エス,38,2,値上がり率・出来高増加率
7936,(株)アシックス,39,2,値上がり率・出来高
3399,(株)丸千代山岡家,47,2,値上がり率・出来高増加率
3779,ジェイ・エスコム　ホールディングス(株),47,2,値上がり率・出来高増加率
8836,(株)ＲＩＳＥ,58,2,値上がり率・出来高増加率
1699,(NEXT FUNDS)NOMURA原油インデックス上場,59,2,値上がり率・出来高増加率
3667,(株)ｅｎｉｓｈ,69,2,値上がり率・出来高
415A,ＧＭＯ　ＴＥＣＨホールディングス(株),71,2,値上がり率・出来高増加率
1401,(株)エムビーエス,80,2,値上がり率・出来高増加率
3996,サインポスト(株),91,2,値上がり率・出来高増加率
3697,(株)ＳＨＩＦＴ,100,2,値上がり率・出来高
1366,iFreeETF 日経平均ダブルインバース・インデックス,122,2,値上がり率・出来高
1466,iFreeETF JPX日経400ダブルインバース・インデックス,139,2,値上がり率・出来高増加率
8918,(株)ランド,1,1,出来高
4564,オンコセラピー・サイエンス(株),2,1,出来高
9432,ＮＴＴ(株),3,1,出来高
2647,(NEXT FUNDS)ブルームバーグ米国国債(7-10年)(H無),4,1,出来高増加率
1474,One ETF JPX日経400,5,1,出来高増加率
2838,MAXIS 米国国債7-10年上場投信(H無),6,1,出来高増加率
6814,古野電気(株),6,1,値上がり率
9434,ソフトバンク(株),6,1,出来高
8139,(株)ナガホリ,7,1,出来高増加率
8729,ソニーフィナンシャルグループ(株),7,1,出来高
2252,GX Morningstar 米国中小型 Moat,8,1,出来高増加率
285A,キオクシアホールディングス(株),8,1,出来高
2068,NEXT NOTES 高ベータ30(NR)ETN,9,1,値上がり率
496A,One ETF 日本国債 17-20年,9,1,出来高増加率
9984,ソフトバンクグループ(株),9,1,出来高
5250,ＧＭＯプライム・ストラテジー(株),10,1,出来高増加率
8306,(株)三菱ＵＦＪフィナンシャル・グループ,10,1,出来高
258A,SMT ETF国内リート厳選投資アクティブ,11,1,出来高増加率
5803,(株)フジクラ,11,1,出来高
3436,(株)ＳＵＭＣＯ,12,1,出来高
533A,NZAM 上場投信 S&P500(H無),13,1,出来高増加率
6981,(株)村田製作所,13,1,出来高
4722,フューチャー(株),14,1,値上がり率
7211,三菱自動車(株),14,1,出来高
2524,NZAM 上場投信 TOPIX,15,1,出来高増加率
3647,(株)アスリナ,15,1,値上がり率
7201,日産自動車(株),15,1,出来高
2843,上場インデックスファンド豪州国債(H有),16,1,出来高増加率
6976,太陽誘電(株),16,1,出来高
2247,iFreeETF S&P500(H無),17,1,出来高増加率
9501,東京電力ホールディングス(株),17,1,出来高
2034,NEXT NOTES 韓国KOSPI･ベアETN,18,1,値上がり率
534A,NZAM 上場投信 NASDAQ100(H無),18,1,出来高増加率
5401,日本製鉄(株),18,1,出来高
2528,iFreeETF 東証REIT Core指数,19,1,出来高増加率
8136,(株)サンリオ,19,1,出来高
