code,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ(株),1,3,値上がり率・出来高・出来高増加率
1518,三井松島ホールディングス(株),3,3,値上がり率・出来高・出来高増加率
6999,ＫＯＡ(株),6,3,値上がり率・出来高・出来高増加率
6548,(株)旅工房,13,3,値上がり率・出来高・出来高増加率
8918,(株)ランド,1,2,値上がり率・出来高
4424,(株)Ａｍａｚｉａ,2,2,値上がり率・出来高
4564,オンコセラピー・サイエンス(株),2,2,値上がり率・出来高
1360,日経平均ベア2倍上場投信,4,2,値上がり率・出来高
1723,日本電技(株),4,2,値上がり率・出来高増加率
7034,(株)プロレド・パートナーズ,5,2,値上がり率・出来高増加率
7551,(株)ウェッズ,7,2,値上がり率・出来高増加率
8541,(株)愛媛銀行,7,2,値上がり率・出来高増加率
2354,(株)ＹＥ　ＤＩＧＩＴＡＬ,8,2,値上がり率・出来高
2627,GX eコマース-日本株式,9,2,値上がり率・出来高増加率
3697,(株)ＳＨＩＦＴ,13,2,値上がり率・出来高
6993,大黒屋ホールディングス(株),14,2,値上がり率・出来高
1466,iFreeETF JPX日経400ダブルインバース・インデックス,15,2,値上がり率・出来高増加率
3841,(株)ジーダット,15,2,値上がり率・出来高増加率
8247,(株)大和,17,2,値上がり率・出来高増加率
6159,ミクロン精密(株),18,2,値上がり率・出来高増加率
9602,東宝(株),20,2,値上がり率・出来高
3664,(株)ＷＩＺＥ,21,2,値上がり率・出来高
5618,ナイル(株),23,2,値上がり率・出来高増加率
6890,(株)フェローテック,23,2,出来高・出来高増加率
1357,(NEXT FUNDS) 日経ダブルインバース上場投信,30,2,値上がり率・出来高
504A,イノバセル(株),35,2,値上がり率・出来高増加率
173A,(株)ハンモック,36,2,値上がり率・出来高増加率
3382,(株)セブン＆アイ・ホールディングス,37,2,値上がり率・出来高
3907,シリコンスタジオ(株),37,2,値上がり率・出来高増加率
4997,日本農薬(株),51,2,値上がり率・出来高増加率
1459,楽天 ETF-日経ダブルインバース指数連動型,54,2,値上がり率・出来高
5945,天龍製鋸(株),58,2,値上がり率・出来高増加率
3624,アクセルマーク(株),68,2,出来高・出来高増加率
4935,(株)リベルタ,68,2,値上がり率・出来高
3083,スターシーズ(株),72,2,値上がり率・出来高増加率
3856,Ａｂａｌａｎｃｅ(株),74,2,値上がり率・出来高増加率
6522,(株)アスタリスク,80,2,値上がり率・出来高
4502,武田薬品工業(株),131,2,値上がり率・出来高
145A,(株)Ｌ　ｉｓ　Ｂ,143,2,値上がり率・出来高増加率
